Alpha,Split,Vectorization,Accuracy,F1_macro,ROC AUC
0,Random,DTM,0.8897058823529411,0.8628418082159868,0.9085612562429132
0,Random,Tfidf,0.8154024767801857,0.7844448214759749,0.8533435008219253
0,Random,Tfidf(L1),0.5952012383900929,0.46934031198724896,0.721091341483686
0,Random,Tfidf(L2),0.8459752321981424,0.798065200213227,0.8642961530535788
0,Temporal,DTM,0.8420475319926873,0.8227679834914007,0.886266861576608
0,Temporal,Tfidf,0.7652650822669104,0.7191767555385288,0.8258376112737921
0,Temporal,Tfidf(L1),0.593418647166362,0.47950747562941254,0.741248591632898
0,Temporal,Tfidf(L2),0.7890310786106033,0.733704090303419,0.8362793344366827
1,Random,DTM,0.9171826625386997,0.8775088638217851,0.9172448488031517
1,Random,Tfidf,0.9361455108359134,0.924117880578056,0.9574570240843885
1,Random,Tfidf(L1),0.28173374613003094,0.08792270531400967,0.5
1,Random,Tfidf(L2),0.3231424148606811,0.14679689790306139,0.5009716669270233
1,Temporal,DTM,0.8712979890310786,0.8191984963451716,0.8886600916818947
1,Temporal,Tfidf,0.9312614259597807,0.9310773168648205,0.9628768706892041
1,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
1,Temporal,Tfidf(L2),0.30347349177330896,0.13780190038136073,0.5322291345018618
2,Random,DTM,0.8742260061919505,0.7557457114489409,0.8600314791905553
2,Random,Tfidf,0.9307275541795665,0.9165118890836357,0.9480713044506871
2,Random,Tfidf(L1),0.28405572755417957,0.08848704038577457,0.5
2,Random,Tfidf(L2),0.3123065015479876,0.13121799974531625,0.5007038004914758
2,Temporal,DTM,0.8438756855575869,0.7032576254203164,0.8477206176886403
2,Temporal,Tfidf,0.930164533820841,0.9301557165025238,0.95843783457281
2,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
2,Temporal,Tfidf(L2),0.28043875685557584,0.1046449354150546,0.4915084915084915
3,Random,DTM,0.8498452012383901,0.7069672219185973,0.838785205198403
3,Random,Tfidf,0.9407894736842105,0.9277567784751316,0.9514676068646711
3,Random,Tfidf(L1),0.2886996904024768,0.0896096096096096,0.5
3,Random,Tfidf(L2),0.2964396284829721,0.10723476196471286,0.49188311688311687
3,Temporal,DTM,0.8281535648994516,0.6864111380340228,0.8373900825129731
3,Temporal,Tfidf,0.9239488117001828,0.9180503768211956,0.9467797359472016
3,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
3,Temporal,Tfidf(L2),0.2753199268738574,0.09659549642584124,0.495004995004995
4,Random,DTM,0.8208204334365325,0.6783761097681473,0.9003407761726776
4,Random,Tfidf,0.9373065015479877,0.9194112233853209,0.9439177298781185
4,Random,Tfidf(L1),0.28908668730650156,0.08970279195436806,0.5
4,Random,Tfidf(L2),0.30843653250773995,0.11371872887085868,0.4895833333333333
4,Temporal,DTM,0.8043875685557587,0.6688028487470605,0.8227252756295386
4,Temporal,Tfidf,0.9096892138939671,0.886954868527431,0.9261012187081914
4,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
4,Temporal,Tfidf(L2),0.27312614259597806,0.09305035274098059,0.4965034965034965
