Alpha,Split,Vectorization,Accuracy,F1_macro,ROC AUC
0,Random,DTM,0.8881578947368421,0.8465610887258552,0.8974568765522294
0,Random,Tfidf,0.8161764705882353,0.7744838004377055,0.8483375245358555
0,Random,Tfidf(L1),0.6722136222910217,0.5503409581488021,0.7275390925959808
0,Random,Tfidf(L2),0.8459752321981424,0.8020326575742189,0.8655787405051744
0,Temporal,DTM,0.8372943327239488,0.8147386492449685,0.8812204180722623
0,Temporal,Tfidf,0.7641681901279708,0.7154310308761942,0.824061334573237
0,Temporal,Tfidf(L1),0.6705667276051188,0.5530924418057905,0.8008765739080279
0,Temporal,Tfidf(L2),0.7828153564899452,0.7331590920961227,0.8346470654125252
1,Random,DTM,0.9264705882352942,0.9113514705946093,0.9376795219493363
1,Random,Tfidf,0.9446594427244582,0.931306256567393,0.9598777052153782
1,Random,Tfidf(L1),0.2886996904024768,0.0896096096096096,0.5
1,Random,Tfidf(L2),0.48800309597523217,0.36286629870687526,0.6439337275716059
1,Temporal,DTM,0.8906764168190128,0.8548958193976995,0.9074967492828521
1,Temporal,Tfidf,0.930164533820841,0.930543634154153,0.9621848867834037
1,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
1,Temporal,Tfidf(L2),0.4117001828153565,0.28451768872493505,0.6025006802745436
2,Random,DTM,0.9028637770897833,0.8265949098993138,0.8896917077323396
2,Random,Tfidf,0.9427244582043344,0.9352776432774732,0.9582976594381026
2,Random,Tfidf(L1),0.2921826625386997,0.09044624138963761,0.5
2,Random,Tfidf(L2),0.39976780185758515,0.2574632937553519,0.5833003323878723
2,Temporal,DTM,0.8544789762340037,0.7243421881378787,0.8556870093096449
2,Temporal,Tfidf,0.9323583180987203,0.932711993343954,0.960107215200393
2,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
2,Temporal,Tfidf(L2),0.3469835466179159,0.2000204493792339,0.5554278685421219
3,Random,DTM,0.8672600619195047,0.7332889646282115,0.8527265903404526
3,Random,Tfidf,0.9431114551083591,0.9354905507563471,0.9560145085735965
3,Random,Tfidf(L1),0.29566563467492263,0.0912783751493429,0.5
3,Random,Tfidf(L2),0.3591331269349845,0.20491775599418097,0.556126595850633
3,Temporal,DTM,0.8416819012797075,0.6971221005410935,0.8444802061658775
3,Temporal,Tfidf,0.9290676416819013,0.9264960050194695,0.9526503090366919
3,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
3,Temporal,Tfidf(L2),0.3235831809872029,0.16865821532340286,0.5388155062675047
4,Random,DTM,0.8452012383900929,0.6986288864096549,0.92039094496513
4,Random,Tfidf,0.9427244582043344,0.9252313961503326,0.9481391825088172
4,Random,Tfidf(L1),0.29760061919504643,0.09173874142558902,0.5
4,Random,Tfidf(L2),0.39512383900928794,0.23746437003997892,0.5710034628651223
4,Temporal,DTM,0.8274223034734918,0.6867854143932284,0.8354865173879524
4,Temporal,Tfidf,0.9191956124314442,0.9043372396944029,0.9370451401186202
4,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
4,Temporal,Tfidf(L2),0.30859232175502743,0.146463231559372,0.527968892229766
