Alpha,Split,Vectorization,Accuracy,F1_macro,ROC AUC
0,Random,DTM,0.8804179566563467,0.8412405382981796,0.8933974017526112
0,Random,Tfidf,0.8304953560371517,0.7910343157326596,0.859945405335969
0,Random,Tfidf(L1),0.6787925696594427,0.5594266519116748,0.7306202553823324
0,Random,Tfidf(L2),0.8428792569659442,0.7978085274079944,0.865282804961784
0,Temporal,DTM,0.8372943327239488,0.8147386492449685,0.8812204180722623
0,Temporal,Tfidf,0.7641681901279708,0.7154310308761942,0.824061334573237
0,Temporal,Tfidf(L1),0.6705667276051188,0.5530924418057905,0.8008765739080279
0,Temporal,Tfidf(L2),0.7828153564899452,0.7331590920961227,0.8346470654125252
1,Random,DTM,0.9280185758513931,0.9137466987504889,0.9390080611066886
1,Random,Tfidf,0.9454334365325078,0.9364661283889465,0.9630965006311225
1,Random,Tfidf(L1),0.29605263157894735,0.09137055837563451,0.5
1,Random,Tfidf(L2),0.5309597523219814,0.39810377303325806,0.6693514583931934
1,Temporal,DTM,0.8906764168190128,0.8548958193976995,0.9074967492828521
1,Temporal,Tfidf,0.930164533820841,0.930543634154153,0.9621848867834037
1,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
1,Temporal,Tfidf(L2),0.4117001828153565,0.28451768872493505,0.6025006802745436
2,Random,DTM,0.8827399380804953,0.7830800402223188,0.8727405214578345
2,Random,Tfidf,0.9423374613003096,0.9319059748193601,0.9540764100344159
2,Random,Tfidf(L1),0.27825077399380804,0.08707235846200424,0.5
2,Random,Tfidf(L2),0.43188854489164086,0.28139387025721013,0.5960229134576847
2,Temporal,DTM,0.8544789762340037,0.7243421881378787,0.8556870093096449
2,Temporal,Tfidf,0.9323583180987203,0.932711993343954,0.960107215200393
2,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
2,Temporal,Tfidf(L2),0.3469835466179159,0.2000204493792339,0.5554278685421219
3,Random,DTM,0.8610681114551083,0.7136275394079694,0.8462729785965533
3,Random,Tfidf,0.9330495356037152,0.9197543013971142,0.9454946024132681
3,Random,Tfidf(L1),0.2921826625386997,0.09044624138963761,0.5
3,Random,Tfidf(L2),0.3169504643962848,0.15463057333788233,0.5300840503360782
3,Temporal,DTM,0.8416819012797075,0.6971221005410935,0.8444802061658775
3,Temporal,Tfidf,0.9290676416819013,0.9264960050194695,0.9526503090366919
3,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
3,Temporal,Tfidf(L2),0.3235831809872029,0.16865821532340286,0.5388155062675047
4,Random,DTM,0.8308823529411765,0.6869878370505329,0.9087495971117148
4,Random,Tfidf,0.9342105263157895,0.9159885085549819,0.9419416561824059
4,Random,Tfidf(L1),0.293343653250774,0.09072411729503291,0.5
4,Random,Tfidf(L2),0.3363003095975232,0.1737652239437711,0.5376992541811059
4,Temporal,DTM,0.8274223034734918,0.6867854143932284,0.8354865173879524
4,Temporal,Tfidf,0.9191956124314442,0.9043372396944029,0.9370451401186202
4,Temporal,Tfidf(L1),0.2680073126142596,0.08454440599769318,0.5
4,Temporal,Tfidf(L2),0.30859232175502743,0.146463231559372,0.527968892229766
